#{"t_start": 1741531654.3055704, "env_id": "None"}
r,l,t
-1.0,49,115.132895
-1.0,49,115.641536
-1.0,49,116.083244
-1.0,49,116.53839
-1.0,49,116.994204
-1.0,49,117.424767
-1.0,49,117.839531
-1.0,49,118.287022
-1.0,49,119.024015
-1.0,49,119.803743
-1.0,49,120.660422
-1.0,49,121.262299
-1.0,49,121.76349
-1.0,49,122.244406
-1.0,49,122.720375
-1.0,49,123.186387
-1.0,49,123.783164
-1.0,49,124.252855
-1.0,49,124.688224
-1.0,49,125.144137
-1.0,49,125.582247
-1.0,49,126.038888
-1.0,49,126.530189
-1.0,49,127.026434
-1.0,49,127.464446
-1.0,49,127.908174
-1.0,49,128.531334
-1.0,49,129.171537
-1.0,49,129.917696
-1.0,49,130.56555
-1.0,49,131.0091
-1.0,49,131.428331
-1.0,49,131.848309
-1.0,49,132.277651
-1.0,49,132.699491
-1.0,49,133.127357
-1.0,49,133.554897
-1.0,49,133.979894
-1.0,49,134.399245
-1.0,49,134.824534
-1.0,49,135.247124
-1.0,49,135.653108
-1.0,49,136.057002
-1.0,49,136.457963
-1.0,49,136.868089
-1.0,49,137.287461
-1.0,49,137.700777
-1.0,49,138.10159
-1.0,49,138.519196
-1.0,49,138.921047
-1.0,49,139.338495
-1.0,49,139.759358
-1.0,49,140.197301
-1.0,49,140.609126
-1.0,49,141.035521
-1.0,49,141.453836
-1.0,49,141.904094
-1.0,49,142.304448
-1.0,49,142.74033
-1.0,49,143.156943
-1.0,49,143.584664
-1.0,49,143.985998
-1.0,50,144.400059
-1.0,49,144.803391
-1.0,49,145.220986
-1.0,49,145.625015
-1.0,49,146.038928
-1.0,49,146.438916
-1.0,49,146.85225
-1.0,49,147.261708
-1.0,49,147.692298
-1.0,49,148.112567
-1.0,49,148.547902
-1.0,49,148.973327
-1.0,49,149.388319
-1.0,49,149.811887
-1.0,49,150.248172
-1.0,49,150.670241
-1.0,49,151.100933
-1.0,49,151.512935
-1.0,49,151.951813
-1.0,49,152.37354
-1.0,50,152.809283
-1.0,49,153.232095
-1.0,49,153.657736
-1.0,49,154.062202
-1.0,49,154.477223
-1.0,49,154.898259
-1.0,49,155.336461
-1.0,49,155.755916
-1.0,49,156.179045
-1.0,49,156.602703
-1.0,49,157.216458
-1.0,49,157.809057
-1.0,49,158.358136
-1.0,49,158.95423
-1.0,49,159.426095
-1.0,49,159.859284
-1.0,49,160.355893
-1.0,49,160.889342
-1.0,49,161.358636
-1.0,49,161.879146
-1.0,49,162.317874
-1.0,49,162.750759
-1.0,49,163.232334
-1.0,49,163.77814
-1.0,49,164.20363
-1.0,49,164.641297
-1.0,49,165.067963
-1.0,49,165.483382
-1.0,49,165.901519
-1.0,49,166.343993
-1.0,49,166.823492
-1.0,49,167.290226
-1.0,49,167.699131
-1.0,49,168.169522
-1.0,49,168.651345
-1.0,49,169.227975
-1.0,49,169.722795
-1.0,49,170.220776
-1.0,49,170.748349
-1.0,49,171.191958
-1.0,49,171.612493
-1.0,49,172.244683
-1.0,49,172.841262
-1.0,49,173.387643
-1.0,49,173.819482
-1.0,49,174.2457
-1.0,49,174.692482
-1.0,49,175.256891
-1.0,49,175.685356
-1.0,49,176.111085
-1.0,49,176.537438
-1.0,49,176.960963
-1.0,49,177.379972
-1.0,49,177.804922
-1.0,49,178.223444
-1.0,49,178.647882
-1.0,49,179.063765
-1.0,49,179.487786
-1.0,49,179.914454
-1.0,49,180.336226
-1.0,49,180.755759
-1.0,49,181.185107
-1.0,49,181.618914
-1.0,49,182.037019
-1.0,49,182.462383
-1.0,49,182.879538
-1.0,49,183.312832
-1.0,49,183.73141
-1.0,49,184.158217
-1.0,49,184.579999
-1.0,49,185.016178
-1.0,49,185.435667
-1.0,49,185.859586
-1.0,49,186.277313
-1.0,49,186.709511
-1.0,49,187.128516
-1.0,49,187.550377
-1.0,49,187.967542
-1.0,49,188.400166
-1.0,49,188.816397
-1.0,49,189.241046
-1.0,49,189.658667
-1.0,49,190.089591
-1.0,49,190.513377
-1.0,49,190.936425
-1.0,49,191.355176
-1.0,49,191.789554
-1.0,49,192.209342
-1.0,49,192.635708
-1.0,49,193.054402
-1.0,49,193.496216
-1.0,49,193.916704
-1.0,49,194.338201
-1.0,49,194.755531
-1.0,49,195.176579
-1.0,49,195.593358
-1.0,49,196.014355
-1.0,49,196.430372
-1.0,49,196.870017
-1.0,49,197.28547
-1.0,49,197.705055
-1.0,49,198.123446
-1.0,49,198.546512
-1.0,49,198.961652
-1.0,49,199.385467
-1.0,49,199.806995
-1.0,49,200.239238
-1.0,49,200.663676
-1.0,49,201.090863
-1.0,49,201.512296
-1.0,49,201.938828
-1.0,49,202.352098
-1.0,49,202.772848
-1.0,49,203.190368
-1.0,49,203.614833
-1.0,49,204.035992
-1.0,49,204.453989
-1.0,49,204.881195
-1.0,49,205.306839
-1.0,49,205.732523
-1.0,49,206.151374
-1.0,49,206.573546
-1.0,49,207.034338
-1.0,49,207.465422
-1.0,49,207.909093
-1.0,49,208.337947
-1.0,49,208.766917
-1.0,49,209.195811
-1.0,49,209.601762
-1.0,49,210.010672
-1.0,49,210.423006
-1.0,49,210.844902
-1.0,49,211.262151
-1.0,49,211.68737
-1.0,49,212.117348
-1.0,49,212.53234
-1.0,49,212.951936
-1.0,49,213.374425
-1.0,49,213.800254
-1.0,49,214.221511
-1.0,49,214.637479
-1.0,49,215.06298
-1.0,49,215.488882
-1.0,49,215.956032
-1.0,49,216.378354
-1.0,49,216.803414
-1.0,49,217.228213
-1.0,49,217.655297
-1.0,49,218.076082
-1.0,49,218.497996
-1.0,49,218.924546
-1.0,49,219.348226
-1.0,49,219.760999
-1.0,49,220.173251
-1.0,49,220.588533
-1.0,49,221.000013
-1.0,49,221.415642
-1.0,49,221.835743
-1.0,49,222.267166
-1.0,49,222.693058
-1.0,49,223.111519
-1.0,49,223.532408
-1.0,49,223.956297
-1.0,49,224.376845
-1.0,49,224.80591
-1.0,49,225.224255
-1.0,49,225.65763
-1.0,49,226.077689
-1.0,49,226.502055
-1.0,49,226.923193
-1.0,49,227.37249
-1.0,49,227.78894
-1.0,49,228.21403
-1.0,49,228.631576
-1.0,49,229.067843
-1.0,49,229.491187
-1.0,49,229.917899
-1.0,49,230.335667
-1.0,49,230.776006
-1.0,49,231.193517
-1.0,49,231.613327
-1.0,49,232.029508
-1.0,49,232.466481
-1.0,49,232.885041
-1.0,49,233.312001
-1.0,49,233.730136
-1.0,49,234.170599
-1.0,49,234.589229
-1.0,49,235.01507
-1.0,49,235.453993
-1.0,49,236.10954
-1.0,49,236.675883
-1.0,49,237.296378
-1.0,49,237.891418
-1.0,49,238.344172
-1.0,49,238.787888
-1.0,49,239.37711
-1.0,49,239.877166
-1.0,49,240.468322
-1.0,49,241.359907
-1.0,49,241.83392
-1.0,49,242.537955
-1.0,49,243.227378
-1.0,49,243.937351
-1.0,49,244.489208
-1.0,49,245.020924
-1.0,49,245.595136
-1.0,49,246.042698
-1.0,49,246.515736
-1.0,49,247.079396
-1.0,49,247.590724
-1.0,49,248.029238
-1.0,49,248.520933
-1.0,49,249.00391
-1.0,49,249.573101
-1.0,49,250.254134
-1.0,49,250.899955
-1.0,49,251.571235
-1.0,49,252.308584
-1.0,49,252.962888
-1.0,49,253.704949
-1.0,49,254.164535
-1.0,49,254.614147
-1.0,49,255.074901
-1.0,49,255.553571
-1.0,49,255.98995
-1.0,49,256.433017
-1.0,49,256.894726
-1.0,49,257.324562
-1.0,49,257.76199
-1.0,49,258.197349
-1.0,49,258.639639
-1.0,49,259.119068
-1.0,49,259.606739
-1.0,49,260.136725
-1.0,49,260.569001
-1.0,49,260.992229
-1.0,49,261.438799
-1.0,49,261.927803
-1.0,49,262.366334
-1.0,49,262.829998
-1.0,49,263.559799
-1.0,49,264.038112
-1.0,49,264.460463
-1.0,49,264.875229
-1.0,49,265.29341
-1.0,49,265.756747
-1.0,50,266.215122
-1.0,49,266.768409
-1.0,49,267.198015
-1.0,49,267.661292
-1.0,49,268.188693
-1.0,49,268.794636
-1.0,50,269.270571
-1.0,49,269.73573
-1.0,49,270.158331
-1.0,49,270.593541
-1.0,49,271.05671
-1.0,49,271.598452
-1.0,49,272.080294
-1.0,49,272.506409
-1.0,49,272.938147
-1.0,49,273.361906
-1.0,49,273.787179
-1.0,49,274.197749
-1.0,49,274.613233
-1.0,49,275.03688
-1.0,49,275.54775
-1.0,49,276.01874
-1.0,49,276.547711
-1.0,49,277.042037
-1.0,49,277.467839
-1.0,49,277.915945
-1.0,49,278.322909
-1.0,49,278.824641
-1.0,49,279.26001
-1.0,49,279.754847
-1.0,49,280.210252
-1.0,49,280.784453
-1.0,49,281.288054
-1.0,49,281.783891
-1.0,49,282.225875
-1.0,49,282.674464
-1.0,49,283.082417
-1.0,49,283.506835
-1.0,49,283.919322
-1.0,49,284.472124
-1.0,49,284.965018
-1.0,49,285.500728
-1.0,49,285.950166
-1.0,49,286.425733
-1.0,49,286.843486
-1.0,49,287.270229
-1.0,49,287.670364
-1.0,49,288.091754
-1.0,49,288.494527
-1.0,50,288.940151
-1.0,49,289.363457
-1.0,49,289.806711
-1.0,49,290.239001
-1.0,49,290.661277
-1.0,49,291.085497
-1.0,49,291.532221
-1.0,49,291.954488
-1.0,49,292.364954
-1.0,49,292.798742
-1.0,49,293.270033
